"match_name","full_name","marathon","year","vaporfly"
"LAUREN PHILBROOK","LAUREN PHILBROOK","Boston Marathon",2019,FALSE
"AILSA MACDONALD","AILSA MACDONALD","Boston Marathon",2019,FALSE
"TINA MUIR","TINA MUIR","Boston Marathon",2019,FALSE
"SERKALEM ABRHA","SERKALEM ABRHA","Cal Intl Marathon",2015,FALSE
"MOLLY GREENE","MOLLY GREENE","Cal Intl Marathon",2015,FALSE
"GISELA OLALDE GRANADOS","GISELA OLALDE","Cal Intl Marathon",2015,FALSE
"JANE KIBII","JANE KIBII","Cal Intl Marathon",2015,FALSE
"JEANNA COMPOSTI","JEANNA COMPOSTI","Cal Intl Marathon",2015,FALSE
"MADELINE DUHON","MADELINE DUHON","Cal Intl Marathon",2015,FALSE
"SARAH KIPTOO","SARAH KIPTOO","Cal Intl Marathon",2015,FALSE
"AMANDA NURSE","AMANDA NURSE","Cal Intl Marathon",2015,FALSE
"JULIA ROMAN-DUVAL","JULIA ROMAN-DUVAL","Cal Intl Marathon",2015,FALSE
"SAMANTHA BLUSKE","SAMANTHA BLUSKE","Cal Intl Marathon",2015,FALSE
"CYNTHIA FOWLER","CYNTHIA FOWLER","Cal Intl Marathon",2015,FALSE
"SHALUINN FULLOVE","SHALUINN FULLOVE","Cal Intl Marathon",2015,FALSE
"ANITA PEREZ","ANITA PEREZ","Cal Intl Marathon",2015,FALSE
"CHRISTINE SHAW","CHRISTINE SHAW","Cal Intl Marathon",2015,FALSE
"LIZA REICHERT","LIZA REICHERT","Cal Intl Marathon",2015,FALSE
"NEASA COLL","NEASA COLL","Cal Intl Marathon",2015,FALSE
"LYNDY DAVIS","LYNDY DAVIS","Cal Intl Marathon",2015,FALSE
"SARAH MACKAY ROBINSON","SARAH MACKAY ROBINSON","Cal Intl Marathon",2015,FALSE
"MELISSA HARDESTY","MELISSA HARDESTY","Cal Intl Marathon",2015,FALSE
"LEAH FROST","LEAH FROST","Cal Intl Marathon",2015,FALSE
"SABINA PIRAS","SABINA PIRAS","Cal Intl Marathon",2015,FALSE
"ALEXANDRA CADICAMO","ALEXANDRA CADICAMO","Cal Intl Marathon",2015,FALSE
"KRISTEN CARTER SCHAFER","KRISTEN CARTER SCHAFER","Cal Intl Marathon",2015,FALSE
"HEATHER MCWHIRTER","HEATHER MCWHIRTER","Cal Intl Marathon",2015,FALSE
"NORA COLLIGAN","NORA COLLIGAN","Cal Intl Marathon",2015,FALSE
"KAITLIN SHEEDY","KAITLIN SHEEDY","Cal Intl Marathon",2015,FALSE
"ALEXANDRA BERNARDI","ALEXANDRA BERNARDI","Cal Intl Marathon",2015,FALSE
"SHAWNA MCCLAIN","SHAWNA MCCLAIN","Cal Intl Marathon",2015,FALSE
"LINNABAH SNYDER","LINNABAH SNYDER","Cal Intl Marathon",2015,FALSE
"LAUREN FOG","LAUREN FOG","Cal Intl Marathon",2015,FALSE
"SARAH KIPTOO","SARAH KIPTOO","Cal Intl Marathon",2016,FALSE
"STEPHANIE BRUCE","STEPHANIE BRUCE","Cal Intl Marathon",2016,FALSE
"LAUREN JIMISON","LAUREN JIMISON","Cal Intl Marathon",2016,FALSE
"SAMANTHA BLUSKE","SAMANTHA BLUSKE","Cal Intl Marathon",2016,FALSE
"TINA MUIR","TINA MUIR","Cal Intl Marathon",2016,FALSE
"ASHLEY BRASOVAN","ASHLEY BRASOVAN","Cal Intl Marathon",2016,FALSE
"LISSA ZIMMER","LISSA ZIMMER","Cal Intl Marathon",2016,FALSE
