"match_name","full_name","marathon","year","vaporfly"
"MATT DUFFY","MATT DUFFY","Cal Intl Marathon",2015,FALSE
"GREGORY LEAK","GREGORY LEAK","Cal Intl Marathon",2015,FALSE
"CROSBY FREEMAN","CROSBY FREEMAN","Cal Intl Marathon",2015,FALSE
"MATTHEW BLUME","MATTHEW BLUME","Cal Intl Marathon",2015,FALSE
"ERIC NOEL","ERIC NOEL","Cal Intl Marathon",2015,FALSE
"CHRIS MOCKO","CHRIS MOCKO","Cal Intl Marathon",2015,FALSE
"BENJAMIN EVERSOLE","BENJAMIN EVERSOLE","Cal Intl Marathon",2015,FALSE
"JASON SIMPSON","JASON SIMPSON","Cal Intl Marathon",2015,FALSE
"JOSEPH ELSAKR","JOSEPH ELSAKR","Cal Intl Marathon",2015,FALSE
"NELSON OYUGI","NELSON OYUGI","Cal Intl Marathon",2016,FALSE
"ELISHA BARNO","ELISHA BARNO","Cal Intl Marathon",2016,FALSE
"DANIEL TAPIA","DANIEL TAPIA","Cal Intl Marathon",2016,FALSE
"ERIC FERNANDEZ","ERIC FERNANDEZ","Cal Intl Marathon",2016,FALSE
"SCOTT MACPHERSON","SCOTT MACPHERSON","Cal Intl Marathon",2016,FALSE
"KIPLANGAT TERER","KIPLANGAT TERER","Cal Intl Marathon",2016,FALSE
"JACOB CHEMTAI","JACOB CHEMTAI","Cal Intl Marathon",2016,FALSE
"ERIC FINAN","ERIC FINAN","Cal Intl Marathon",2016,FALSE
"BRENDAN GREGG","BRENDAN GREGG","Cal Intl Marathon",2016,FALSE
"ROBERT WINSLOW","ROBERT WINSLOW","Cal Intl Marathon",2016,FALSE
"JOHN RANERI","JOHN RANERI","Cal Intl Marathon",2016,FALSE
"DAVID SINCLAIR","DAVID SINCLAIR","Cal Intl Marathon",2016,FALSE
"ERIC NOEL","ERIC NOEL","Cal Intl Marathon",2016,FALSE
"RAMIRO GUILLEN","RAMIRO GUILLEN","Cal Intl Marathon",2016,FALSE
"MATTHEW FECHT","MATTHEW FECHT","Cal Intl Marathon",2016,FALSE
"ALEX WILSON","ALEX WILSON","Cal Intl Marathon",2016,FALSE
"DYLAN BELLES","DYLAN BELLES","Cal Intl Marathon",2016,FALSE
"STEVEN TYLER UNDERWOOD","STEVEN TYLER UNDERWOOD","Cal Intl Marathon",2016,FALSE
"MASON FRANK","MASON FRANK","Cal Intl Marathon",2016,FALSE
"TIMOTHY RITCHIE","TIMOTHY RITCHIE","Cal Intl Marathon",2017,FALSE
"KIYA DANDENA","KIYA DANDENA","Cal Intl Marathon",2017,FALSE
"SAMUEL KOSGEI","SAMUEL KOSGEI","Cal Intl Marathon",2017,TRUE
